companyName,companySize,companyRevenue
Walmart,"2,300,000","$572,754.00"
Amazon,"1,608,000","$469,822.00"
Apple,"154,000","$365,817.00"
CVS Health,"258,000","$292,111.00"
UnitedHealth Group,"350,000","$287,597.00"
Exxon Mobil,"63,000","$285,640.00"
Berkshire Hathaway,"372,000","$276,094.00"
Alphabet,"156,500","$257,637.00"
McKesson,"67,500","$238,228.00"
AmerisourceBergen,"40,000","$213,989.00"
Costco Wholesale,"288,000","$195,929.00"
Cigna,"72,963","$174,078.00"
AT&T,"202,600","$168,864.00"
Microsoft,"181,000","$168,088.00"
Cardinal Health,"46,827","$162,467.00"
Chevron,"42,595","$162,465.00"
Home Depot,"490,600","$151,157.00"
Walgreens Boots Alliance,"258,500","$148,579.00"
Marathon Petroleum,"17,700","$141,032.00"
Anthem,"98,200","$138,639.00"
Kroger,"420,000","$137,888.00"
Ford Motor,"183,000","$136,341.00"
Verizon Communications,"118,400","$133,613.00"
JPMorgan Chase,"271,025","$127,202.00"
General Motors,"157,000","$127,004.00"
Centene,"72,500","$125,982.00"
Meta Platforms,"71,970","$117,929.00"
Comcast,"189,000","$116,385.00"
Phillips 66,"14,000","$114,852.00"
Valero Energy,"9,804","$108,332.00"
Dell Technologies,"133,000","$106,995.00"
Target,"450,000","$106,005.00"
Fannie Mae,"7,400","$101,543.00"
UPS,"400,945","$97,287.00"
Lowe's,"270,000","$96,250.00"
Bank of America,"208,248","$93,851.00"
Johnson & Johnson,"141,700","$93,775.00"
Archer Daniels Midland,"39,979","$85,249.00"
FedEx,"484,000","$83,959.00"
Humana,"95,500","$83,064.00"
Wells Fargo,"247,848","$82,407.00"
State Farm Insurance,"53,586","$82,225.00"
Pfizer,"79,000","$81,288.00"
Citigroup,"221,768","$79,865.00"
PepsiCo,"309,000","$79,474.00"
Intel,"121,100","$79,024.00"
Procter & Gamble,"101,000","$76,118.00"
General Electric,"168,000","$74,196.00"
IBM,"297,800","$72,344.00"
MetLife,"43,000","$71,080.00"
Prudential Financial,"40,916","$70,934.00"
Albertsons,"300,000","$69,690.00"
Walt Disney,"171,000","$67,418.00"
Energy Transfer,"12,558","$67,417.00"
Lockheed Martin,"114,000","$67,044.00"
Freddie Mac,"7,301","$65,898.00"
Goldman Sachs Group,"43,900","$64,989.00"
Raytheon Technologies,"174,000","$64,388.00"
HP,"51,000","$63,487.00"
Boeing,"142,000","$62,286.00"
Morgan Stanley,"74,814","$61,121.00"
HCA Healthcare,"244,000","$58,752.00"
AbbVie,"50,000","$56,197.00"
Dow,"35,700","$54,968.00"
Tesla,"99,290","$53,823.00"
Allstate,"54,500","$53,228.00"
AIG,"36,600","$52,057.00"
Best Buy,"81,375","$51,761.00"
Charter Communications,"93,700","$51,682.00"
Sysco,"57,710","$51,298.00"
Merck,"67,500","$51,216.00"
New York Life Insurance,"14,344","$51,199.00"
Caterpillar,"107,700","$50,971.00"
Cisco Systems,"79,500","$49,818.00"
TJX,"340,000","$48,550.00"
Publix Super Markets,"232,000","$48,394.00"
ConocoPhillips,"9,900","$48,349.00"
Liberty Mutual Insurance Group,"45,000","$48,200.00"
Progressive,"49,077","$47,702.00"
Nationwide,"24,134","$47,376.00"
Tyson Foods,"137,000","$47,049.00"
Bristol-Myers Squibb,"32,200","$46,385.00"
Nike,"73,300","$44,538.00"
